compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
process,2,1,poisson,0.7,40,28.22531795501709,40,0.7056329488754273,1.417167383685396,0.7240692913532257,0.6670911312103271,0.79067063331604,0.7712252140045166,0.7876622676849365,0.79067063331604,stabilityai/sd-turbo,0.0560100257396698,0.6680592656135559
process,1,2,poisson,0.7,40,28.37942409515381,40,0.7094856023788452,1.4094718717999133,1.15751873254776,0.8026070594787598,1.524153470993042,1.5098469257354736,1.5126831531524658,1.524153470993042,stabilityai/sd-turbo,0.3603857338428497,0.7971329987049103
mps,2,1,poisson,0.7,40,28.162578582763672,40,0.7040644645690918,1.4203244877754615,0.7232883214950562,0.668062686920166,0.7897014617919922,0.7696387767791748,0.7790241241455078,0.7897014617919922,stabilityai/sd-turbo,0.0551925003528595,0.6680958211421967
process,2,1,poisson,0.62,40,25.25243592262268,40,0.6313108980655671,1.5840056033630223,1.076774287223816,0.6772518157958984,1.673445224761963,1.4181265830993652,1.6152410507202148,1.673445224761963,stabilityai/sd-turbo,0.244125348329544,0.8326489388942718
process,1,2,poisson,0.62,40,25.24563145637512,40,0.6311407864093781,1.584432541096097,1.11690411567688,0.8040745258331299,1.43229341506958,1.428955078125,1.4301660060882568,1.43229341506958,stabilityai/sd-turbo,0.3198932349681854,0.7970108807086944
mps,2,1,poisson,0.62,40,25.50792407989502,40,0.6376981019973755,1.568140154201236,0.8526021718978882,0.6795878410339355,1.3224155902862549,1.1160786151885986,1.1786696910858154,1.3224155902862549,stabilityai/sd-turbo,0.1454732537269592,0.7071289181709289
process,2,1,poisson,0.55,40,23.756559133529663,40,0.5939139783382416,1.6837455195076874,1.8499951660633087,0.67262864112854,3.4024407863616943,3.012798547744751,3.272002458572388,3.4024407863616943,stabilityai/sd-turbo,0.8481165766716003,1.0018785893917084
process,1,2,poisson,0.55,40,22.488526821136475,40,0.5622131705284119,1.7786847630412532,1.0795781016349792,0.8021318912506104,1.3583590984344482,1.3564231395721436,1.3569934368133545,1.3583590984344482,stabilityai/sd-turbo,0.2849846124649048,0.7945934891700744
mps,2,1,poisson,0.55,40,22.671640634536743,40,0.5667910158634186,1.7643187206781223,1.203884494304657,0.6671352386474609,1.9749176502227783,1.639629602432251,1.831226825714112,1.9749176502227783,stabilityai/sd-turbo,0.5014471054077149,0.7024373888969422
process,2,1,poisson,0.4,40,23.69952249526977,40,0.5924880623817443,1.6877977186242323,4.715225505828857,0.6788601875305176,8.624372720718384,7.829847574234009,7.950384616851807,8.624372720718384,stabilityai/sd-turbo,3.642903745174408,1.0723217606544495
process,1,2,poisson,0.4,40,16.783708810806274,40,0.4195927202701568,2.3832634640471,1.08982013463974,0.8082358837127686,1.3355298042297363,1.3349905014038086,1.3353853225708008,1.3355298042297363,stabilityai/sd-turbo,0.2878592312335968,0.8019609034061432
mps,2,1,poisson,0.4,40,19.3319149017334,40,0.4832978725433349,2.0691173224859063,2.2060156762599945,0.6810109615325928,4.391598701477051,3.846209526062012,4.117291212081909,4.391598701477051,stabilityai/sd-turbo,1.4612669825553894,0.7447486937046051
