compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
process,1,1,poisson,0.64,64,42.21987533569336,64,0.6596855521202087,1.515873732244145,1.213954325765371,0.6799871921539307,1.72843337059021,1.6275289058685305,1.67924165725708,1.72843337059021,stabilityai/sd-turbo,0.5563215166330338,0.6576328091323376
process,1,2,poisson,0.64,64,41.406107902526855,64,0.6469704359769821,1.5456656817554766,1.1245865859091282,0.8012409210205078,1.449656963348389,1.446019411087036,1.4468472003936768,1.449656963348389,stabilityai/sd-turbo,0.3298655338585377,0.7947210520505905
process,1,4,poisson,0.39,64,26.46106123924256,64,0.4134540818631649,2.418648270428628,2.046835444867611,1.353151798248291,2.7933568954467773,2.652605533599853,2.6984894275665283,2.7933568954467773,stabilityai/sd-turbo,0.7000022605061531,1.3468331843614578
process,1,8,poisson,0.34,64,26.98069190979004,64,0.4215733110904693,2.3720666695273804,3.838843248784542,2.30561637878418,5.628235816955566,4.991340160369873,5.104935646057129,5.628235816955566,stabilityai/sd-turbo,1.463240310549736,2.375602938234806
process,1,1,poisson,1.4,64,97.67688202857973,64,1.526201281696558,0.6552215700463694,5.430922120809555,1.5184409618377686,9.339139699935911,8.596556663513184,8.967663764953613,9.339139699935911,stabilityai/stable-diffusion-xl-base-1.0,3.905754260718824,1.5251678600907326
process,1,2,poisson,1.4,64,90.0145616531372,64,1.4064775258302689,0.7109960746864278,2.353040177375078,1.613666534423828,3.106778860092163,3.06773042678833,3.072341203689575,3.106778860092163,stabilityai/stable-diffusion-xl-base-1.0,0.7107550278306007,1.6422851495444777
process,1,4,poisson,0.79,64,54.79559803009033,64,0.8561812192201614,1.167977032842222,3.243919856846333,2.034132242202759,4.920579195022583,4.412633180618286,4.413609504699707,4.920579195022583,stabilityai/stable-diffusion-xl-base-1.0,1.229787975549698,2.0141318812966347
process,1,8,poisson,0.51,64,38.040727853775024,64,0.5943863727152348,1.682407346305517,5.45226151868701,2.5857608318328857,7.324975728988647,7.305434942245483,7.318804979324341,7.324975728988647,stabilityai/stable-diffusion-xl-base-1.0,1.9311750642955303,3.5210864543914795
mps,2,1,poisson,0.64,64,41.23208022117615,64,0.6442512534558773,1.5521894519192996,0.7521423548460007,0.6741673946380615,0.9297244548797609,0.8502893447875977,0.8857738971710205,0.9297244548797609,stabilityai/sd-turbo,0.0632128752768039,0.6889294795691967
mps,4,1,poisson,0.39,64,26.217304706573486,64,0.4096453860402107,2.44113575809161,1.2562580704689026,0.6644880771636963,2.344472169876098,1.660445213317871,1.996681928634644,2.344472169876098,stabilityai/sd-turbo,0.3769501335918903,0.8793079368770123
mps,8,1,poisson,0.34,64,24.05986332893372,64,0.3759353645145893,2.6600317352191856,2.3784878440201283,1.104949951171875,4.650955677032471,3.794757127761841,4.170819044113159,4.650955677032471,stabilityai/sd-turbo,0.7278964072465897,1.6505914367735386
mps,2,2,poisson,0.39,64,25.8457899093628,64,0.4038404673337936,2.4762253436415813,1.243701446801424,0.8020069599151611,2.6640241146087646,1.5064597129821775,1.596686840057373,2.6640241146087646,stabilityai/sd-turbo,0.3789788223803043,0.8647226244211197
mps,4,2,poisson,0.34,64,24.92826128005981,64,0.3895040825009346,2.5673671854199385,2.034721657633781,0.8549506664276123,5.133009433746338,2.906993865966797,3.726513147354126,5.133009433746338,stabilityai/sd-turbo,0.6980453617870808,1.336676295846701
mps,2,4,poisson,0.34,64,23.82410430908203,64,0.3722516298294067,2.686354927333089,2.580111276358366,1.347461462020874,5.783229351043701,4.121420860290527,4.658340692520142,5.783229351043701,stabilityai/sd-turbo,1.0709489956498146,1.5091622807085514
mps,2,1,poisson,1.4,64,90.02155709266663,64,1.406586829572916,0.7109408242530121,1.6421003229916096,1.5143465995788574,1.9368116855621336,1.7912037372589111,1.8743650913238523,1.9368116855621336,stabilityai/stable-diffusion-xl-base-1.0,0.1124209016561508,1.5296794213354588
mps,4,1,poisson,0.79,64,52.20701289176941,64,0.815734576433897,1.2258889458525175,2.0632397197186947,1.5229477882385254,4.021636247634888,3.075814962387085,3.1000516414642334,4.021636247634888,stabilityai/stable-diffusion-xl-base-1.0,0.4870789758861065,1.5761607438325882
mps,2,2,poisson,0.79,64,54.42770504951477,64,0.8504328913986683,1.1758717355761552,2.2288247384130955,1.631086826324463,4.541701316833496,2.620920419692993,3.371943712234497,4.541701316833496,stabilityai/stable-diffusion-xl-base-1.0,0.5681417547166348,1.6606829836964607
mps,2,4,poisson,0.51,64,37.330055236816406,64,0.5832821130752563,1.7144362523439456,3.9331544637680054,1.7566370964050293,7.767614126205444,5.811708927154541,6.200303792953491,7.767614126205444,stabilityai/stable-diffusion-xl-base-1.0,1.5687410347163677,2.3644134290516376
