compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id
mps,2,1,constant,0,120,144.0058660507202,120,1.2000488837560015,0.8332993876633809,72.85139036774635,3.596301794052124,143.87871265411377,130.3168077468872,137.395343542099,141.85768342018127,stabilityai/stable-diffusion-2
mps,2,2,constant,0,120,121.34982824325562,120,1.0112485686937969,0.988876554150948,61.839441233873366,5.013195753097534,121.3230230808258,109.2764630317688,116.40032625198364,121.21049857139587,stabilityai/stable-diffusion-2
mps,2,4,constant,0,120,110.08617162704468,120,0.9173847635587056,1.0900551652076873,57.91171094973882,7.849691152572632,110.0569372177124,100.85759568214417,105.95224356651306,107.59896850585938,stabilityai/stable-diffusion-2
mps,2,8,constant,0,120,105.17913389205933,120,0.8764927824338277,1.140910706900769,58.75990325212479,14.315933227539062,105.15006971359252,96.30054879188538,104.64534282684326,105.02368211746216,stabilityai/stable-diffusion-2
default,2,1,constant,0,120,207.835910320282,120,1.7319659193356831,0.5773785666542228,106.01984153191248,4.808152437210083,207.71958923339844,189.8822221755981,200.09798669815063,205.5807268619537,stabilityai/stable-diffusion-2
default,2,2,constant,0,120,157.55891799926758,120,1.3129909833272295,0.7616198532193388,82.10584229826927,6.168860197067261,157.53363060951233,147.1146755218506,152.6916835308075,157.45102095603943,stabilityai/stable-diffusion-2
default,2,4,constant,0,120,137.4896593093872,120,1.14574716091156,0.8727929111379136,72.84864303469658,9.804930925369264,137.4614987373352,126.81828570365906,133.45722103118896,134.48937463760376,stabilityai/stable-diffusion-2
default,2,8,constant,0,120,128.6425235271454,120,1.0720210293928782,0.9328175218412776,72.17589339613914,17.656551361083984,128.6134397983551,118.49584078788756,126.78564310073853,128.49781441688538,stabilityai/stable-diffusion-2
default,1,2,constant,0,120,144.8383412361145,120,1.206986176967621,0.8285099026671177,74.1269367158413,3.6748688220977774,144.7109341621399,132.61572885513306,139.81734037399292,144.60968947410583,stabilityai/stable-diffusion-2
default,1,4,constant,0,120,118.52894568443298,120,0.9877412140369416,1.0124109288838483,61.70232161482175,4.9857683181762695,118.49936962127686,110.37757468223572,114.53772211074828,118.36603999137878,stabilityai/stable-diffusion-2
default,1,8,constant,0,120,109.43730521202087,120,0.9119775434335072,1.0965182281080044,58.811304634809495,8.317062377929688,109.4056749343872,101.87065434455872,108.89911198616028,109.29875683784483,stabilityai/stable-diffusion-2
default,1,16,constant,0,120,106.30240416526794,120,0.8858533680438996,1.12885499572932,59.51875322461128,14.623291492462158,106.27284097671507,97.39217257499696,105.75204920768738,106.16474318504332,stabilityai/stable-diffusion-2
default,1,2,poisson,1,120,142.49309277534485,120,1.1874424397945404,0.842146083453971,14.688442132870357,2.306751251220703,30.415565729141235,28.62773370742798,29.367642879486084,29.80060648918152,stabilityai/stable-diffusion-2
default,1,4,poisson,1,120,131.57280206680298,120,1.0964400172233582,0.9120425963040054,9.349431508779526,3.871597290039064,17.20927333831787,14.116264820098875,14.936684370040894,15.886942386627195,stabilityai/stable-diffusion-2
