compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99,model_id,avg_queue_time,avg_execution_time
threads,2,1,constant,0,40,26.340619802474976,40,0.6585154950618743,1.5185671521761832,13.479039007425309,0.7207977771759033,26.217917442321777,24.24405026435852,25.547478437423703,26.217917442321777,stabilityai/sd-turbo,12.824354416131971,0.654684591293335
default,1,1,constant,0,40,26.570244312286377,40,0.6642561078071594,1.5054434400327872,13.656579047441484,0.7509481906890869,26.465900897979736,24.504627466201782,25.81228089332581,26.465900897979736,stabilityai/sd-turbo,12.996371775865557,0.6602072715759277
processes,2,1,constant,0,40,23.64080595970153,40,0.5910201489925384,1.6919896922374211,12.10870394706726,1.183926343917847,23.50695538520813,21.54576349258423,22.85299777984619,23.50695538520813,stabilityai/sd-turbo,11.032808583974838,1.0758953630924224
processes,4,1,constant,0,40,22.87267780303955,40,0.5718169450759888,1.7488114135321926,12.460442966222764,2.311037302017212,22.743351697921756,22.08455777168274,22.125009536743164,22.743351697921756,stabilityai/sd-turbo,10.280235087871551,2.1802078783512115
processes,8,1,constant,0,40,22.845675230026245,40,0.5711418807506561,1.7508784309175374,13.195390266180038,4.171029090881348,22.713284492492676,21.79640293121338,22.062806367874146,22.713284492492676,stabilityai/sd-turbo,9.423403185606002,3.7719870805740356
processes w/ mps,2,1,constant,0,40,16.414077043533325,40,0.4103519260883331,2.436932633733363,8.33476704955101,0.8318181037902832,16.29347324371338,14.97715139389038,15.642659902572632,16.29347324371338,stabilityai/sd-turbo,7.5525763630867,0.7821906864643097
processes w/ mps,4,1,constant,0,40,14.890630722045898,40,0.3722657680511474,2.686252902691297,7.906375479698181,1.3635237216949463,14.782769203186035,13.825772047042848,14.606579780578612,14.782769203186035,stabilityai/sd-turbo,6.598673731088638,1.3077017486095428
threads,4,1,constant,0,40,26.577651977539062,40,0.6644412994384765,1.5050238461171908,13.612214249372482,0.7456772327423096,26.44635510444641,24.47381329536438,25.78919577598572,26.44635510444641,stabilityai/sd-turbo,12.95186886191368,0.6603453874588012
processes w/ mps,8,1,constant,0,40,14.64027976989746,40,0.3660069942474365,2.732188225135274,8.366938817501069,2.067906856536865,14.553157806396484,13.852349281311035,14.371439218521118,14.553157806396484,stabilityai/sd-turbo,5.929175770282745,2.437763047218323
threads,8,1,constant,0,40,26.847390174865723,40,0.671184754371643,1.4899027331694843,13.739095288515092,0.7310681343078613,26.726794242858887,24.733688354492188,26.06106758117676,26.726794242858887,stabilityai/sd-turbo,13.07176352739334,0.6673317611217499
